School Name,School Type,Regents Exam_math,Mean Score_math,Regents Exam_english,Mean Score_english,Latitude,Longitude,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score,Total Score,Performance Above/Below Average (%),% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,Career Technical,Common Core Algebra,0.20191005144074942,English,-0.7306620592967852,40.69079,-74.01976,446.0,453.0,428.0,18.8%,23.7%,51.7%,2.9%,0.300358232975054,4.787821225119018,-5.0,0.249,0.012,61.8%,55.2%
RICHARD R. GREEN HIGH SCHOOL OF TEACHING,General Academic,Common Core Algebra,0.047463930002863294,English,-0.4138298608400093,40.70523,-74.01332,411.0,415.0,409.0,2.7%,31.1%,58.8%,6.2%,-0.25541868867415035,4.3944303804887035,-12.0,0.224,0.047,82.1%,77.6%
CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,Career Technical,Common Core Algebra,0.5108022943165206,English,1.0911230818296735,40.72435,-74.00476,439.0,418.0,400.0,3.2%,28.9%,57.4%,8.2%,-0.12251551175803625,6.495624864388158,29.0,0.189,0.016,86.7%,71.3%
ART AND DESIGN HIGH SCHOOL,Career Technical,Common Core Algebra,0.3563561728786356,English,0.41785466010902517,40.7654,-73.98177,455.0,475.0,458.0,10.8%,24.1%,54.7%,8.5%,0.6688624962424612,6.459288329230121,29.0,0.175,0.01,65.7%,53.9%
FRANK MCCOURT HIGH SCHOOL,General Academic,Common Core Algebra,0.989585270773969,English,1.0911230818296735,40.78574,-73.97442,489.0,491.0,500.0,31.8%,15.8%,40.1%,8.8%,1.2246394178916655,8.321562770495309,66.0,0.161,0.003,49.0%,45.1%
HIGH SCHOOL OF ARTS AND TECHNOLOGY,General Academic,Common Core Algebra,-0.508542107173527,English,-0.4270312024423742,40.7743,-73.98482,421.0,428.0,406.0,2.9%,32.5%,59.3%,3.9%,-0.13459761875041026,3.9460440716336884,-21.0,0.22,0.094,90.3%,77.1%
MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,General Academic,Common Core Algebra,2.5340464851528304,English,1.777592845152685,40.7743,-73.98482,581.0,531.0,535.0,13.1%,16.4%,37.9%,25.9%,2.233495351754895,11.56134968206041,130.0,0.12,0.005,60.3%,46.6%
COALITION SCHOOL FOR SOCIAL CHANGE,General Academic,Common Core Algebra,-0.9718804714871854,English,-0.7174607176944184,40.79887,-73.93337,344.0,368.0,367.0,3.5%,41.0%,50.2%,4.2%,-1.1978230340793228,2.1290507767390734,-58.0,,,,
MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,General Academic,Common Core Algebra,1.6537035929568789,English,1.6719821123337604,40.79374,-73.93408,556.0,505.0,495.0,4.2%,20.9%,54.1%,19.2%,1.6837594836018777,10.025660188892516,100.0,0.089,0.029,83.0%,68.1%
PARK EAST HIGH SCHOOL,General Academic,Common Core Algebra,1.3293667379373189,English,0.15382782806171252,40.79056,-73.94445,429.0,433.0,435.0,1.7%,27.6%,63.7%,4.8%,0.11912662808944388,6.618536194088475,32.0,0.173,0.015,85.6%,70.9%
CENTRAL PARK EAST HIGH SCHOOL,General Academic,Common Core Algebra,1.8699281629699203,English,0.6818814921563379,40.79368,-73.94942,483.0,468.0,439.0,3.9%,24.5%,63.3%,7.3%,0.6809446032348352,8.248969258361093,64.0,0.149,0.028,89.4%,73.3%
MOTT HALL HIGH SCHOOL,General Academic,Common Core Algebra,-1.2807727143629577,English,-0.44023254404474094,40.81736,-73.94771,416.0,445.0,440.0,0.7%,38.3%,59.1%,0.9%,0.1432908420741919,3.4385005836664932,-31.0,0.235,0.122,92.2%,81.5%
URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,General Academic,Common Core Algebra,-1.0182143079185508,English,-0.11019900398560012,40.81523,-73.9552,379.0,399.0,388.0,1.4%,52.2%,43.0%,0.8%,-0.6722513799110535,3.2155503081847954,-36.0,0.209,0.071,82.3%,78.5%
HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,General Academic,Common Core Algebra,-1.6823326301014618,English,0.021814412038056202,40.85594,-73.92703,378.0,381.0,383.0,1.3%,13.8%,82.5%,1.9%,-0.8172366638195416,2.5384601181170527,-49.0,0.197,0.372,92.5%,84.7%
HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,General Academic,Common Core Algebra,-0.2768729250166978,English,-0.2158097368045248,40.85594,-73.92703,401.0,394.0,381.0,1.6%,16.8%,80.8%,0.4%,-0.6118408449491836,3.9116914932295934,-22.0,0.22,0.27,76.6%,82.6%
HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,General Academic,Common Core Algebra,-1.3271065507943232,English,-0.5590446184660305,40.85594,-73.92703,374.0,385.0,389.0,1.5%,15.9%,79.8%,1.3%,-0.7809903428424196,2.3490734878972264,-53.0,0.156,0.346,Above 95%,85.6%
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,General Academic,Common Core Algebra,0.1864654392969606,English,-0.20260839520215992,40.81832,-73.95061,459.0,453.0,447.0,1.7%,32.0%,59.7%,4.9%,0.4936719448530381,5.4937439889478386,10.0,0.138,0.099,83.0%,77.4%
MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,General Academic,Common Core Algebra,-1.0491035322061284,English,-0.11019900398560012,40.81817,-73.91109,377.0,373.0,369.0,0.5%,25.3%,73.6%,0.3%,-0.9561808942318427,2.9007315695764286,-42.0,0.266,0.153,Above 95%,83.1%
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,General Academic,Common Core Algebra,0.15557621500938293,English,-0.9418835249346346,40.82278,-73.92352,384.0,355.0,361.0,0.8%,32.3%,63.4%,2.2%,-1.0709609106593958,3.1589467794153525,-37.0,0.27,0.159,91.5%,83.0%
NEW EXPLORERS HIGH SCHOOL,General Academic,Common Core Algebra,0.402690009310001,English,-0.18940705359979318,40.82278,-73.92352,390.0,398.0,376.0,0.4%,31.4%,67.6%,0.4%,-0.6843334869034275,4.54516446880678,-9.0,,,,
HEALTH OPPORTUNITIES HIGH SCHOOL,General Academic,Common Core Algebra,-0.3077621493042755,English,0.37825063530192865,40.81608,-73.93032,374.0,386.0,382.0,1.8%,36.1%,57.9%,3.1%,-0.8172366638195416,4.269466822178112,-15.0,0.204,0.09,86.5%,83.3%
WOMEN'S ACADEMY OF EXCELLENCE,General Academic,Common Core Algebra,-0.8946574107682423,English,-0.7834674257062466,40.81492,-73.85657,386.0,390.0,389.0,2.6%,50.1%,41.2%,3.5%,-0.6782924334072405,2.6597977301182705,-47.0,0.231,0.086,89.9%,77.4%
PABLO NERUDA ACADEMY,General Academic,Common Core Algebra,-1.8676679758269246,English,-1.5095412138363564,40.8223,-73.85596,394.0,384.0,383.0,1.3%,26.0%,67.6%,4.4%,-0.7024566473919885,0.93654916294473,-81.0,,,,
MILLENNIUM ART ACADEMY,General Academic,Common Core Algebra,-0.33865137359185205,English,0.03501575364042296,40.8223,-73.85596,396.0,413.0,395.0,1.8%,30.0%,65.1%,2.3%,-0.4426913470559474,4.269888032992624,-15.0,0.3,0.044,68.3%,78.3%
HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,General Academic,Common Core Algebra,-1.0182143079185508,English,-0.8098701089109783,40.81744,-73.89805,376.0,372.0,369.0,0.4%,43.2%,54.7%,0.4%,-0.9682630012242167,2.219867581946254,-56.0,,,,
HERBERT H. LEHMAN HIGH SCHOOL,General Academic,Common Core Algebra,-0.8483235743368769,English,-0.757064742501515,40.84051,-73.83812,426.0,419.0,407.0,10.6%,23.6%,54.9%,9.2%,-0.15272077923897126,3.2581059039226368,-35.0,0.255,0.108,70.2%,70.3%
BRONX COLLEGIATE ACADEMY,General Academic,Common Core Algebra,0.232799275728326,English,-0.4666352272494726,40.84037,-73.91084,395.0,401.0,382.0,0.3%,28.5%,69.1%,1.0%,-0.5997587379568096,4.182620310522044,-17.0,0.248,0.248,74.7%,86.5%
MOTT HALL BRONX HIGH SCHOOL,General Academic,Common Core Algebra,-0.3695405978794297,English,0.2198345360735407,40.83933,-73.90131,417.0,399.0,398.0,1.2%,20.1%,75.6%,1.2%,-0.3822808120940774,4.484228126100033,-11.0,0.238,0.112,90.8%,84.1%
MORRIS ACADEMY FOR COLLABORATIVE STUDIES,General Academic,Common Core Algebra,-0.8174343500492993,English,-1.865977437100229,40.8276,-73.90448,407.0,389.0,386.0,0.4%,26.3%,72.0%,0.8%,-0.5755945239720615,1.7572086888784102,-65.0,0.289,0.185,90.3%,84.0%
